,Temps(s),Nœuds complétés
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.01,0.01
186,0.01,0.01
187,0.01,0.01
188,0.01,0.01
189,0.01,0.01
190,0.01,0.01
191,0.01,0.01
192,0.01,0.01
193,0.01,0.01
194,0.01,0.01
195,0.01,0.01
196,0.01,0.01
197,0.02,0.02
198,0.02,0.02
199,0.02,0.02
200,0.02,0.02
201,0.02,0.02
202,0.02,0.02
203,0.02,0.02
204,0.02,0.02
205,0.02,0.02
206,0.02,0.02
207,0.02,0.02
208,0.02,0.02
209,0.02,0.02
210,0.02,0.02
211,0.02,0.02
212,0.02,0.02
213,0.02,0.02
214,0.02,0.02
215,0.02,0.02
216,0.02,0.02
217,0.02,0.02
218,0.02,0.02
219,0.02,0.02
220,0.02,0.02
221,0.02,0.02
222,0.02,0.02
223,0.02,0.02
224,0.02,0.02
225,0.02,0.02
226,0.02,0.02
227,0.02,0.02
228,0.02,0.02
229,0.02,0.02
230,0.02,0.02
231,0.02,0.02
232,0.02,0.02
233,0.02,0.02
234,0.02,0.02
235,0.02,0.02
236,0.02,0.02
237,0.02,0.02
238,0.02,0.02
239,0.02,0.02
240,0.02,0.02
241,0.02,0.02
242,0.02,0.02
243,0.02,0.02
244,0.02,0.02
245,0.02,0.02
246,0.02,0.02
247,0.02,0.02
248,0.02,0.02
249,0.02,0.02
250,0.02,0.02
251,0.02,0.02
252,0.02,0.02
253,0.02,0.02
254,0.02,0.02
255,0.02,0.02
256,0.02,0.02
257,0.02,0.02
258,0.02,0.02
259,0.02,0.02
260,0.02,0.02
261,0.02,0.02
262,0.02,0.02
263,0.02,0.02
264,0.02,0.02
265,0.02,0.02
266,0.02,0.02
267,0.02,0.02
268,0.02,0.02
269,0.02,0.02
270,0.02,0.02
271,0.02,0.02
272,0.02,0.02
273,0.02,0.02
274,0.02,0.02
275,0.02,0.02
276,0.02,0.02
277,0.02,0.02
278,0.02,0.02
279,0.02,0.02
280,0.02,0.02
281,0.02,0.02
282,0.02,0.02
283,0.02,0.02
284,0.02,0.02
285,0.02,0.02
286,0.02,0.02
287,0.02,0.02
288,0.02,0.02
289,0.02,0.02
290,0.02,0.02
291,0.02,0.02
292,0.02,0.02
293,0.02,0.02
294,0.02,0.02
295,0.02,0.02
296,0.02,0.02
297,0.02,0.02
298,0.02,0.02
299,0.02,0.02
300,0.02,0.02
301,0.02,0.02
302,0.02,0.02
303,0.02,0.02
304,0.02,0.02
305,0.02,0.02
306,0.02,0.02
307,0.02,0.02
308,0.02,0.02
309,0.02,0.02
310,0.02,0.02
311,0.02,0.02
312,0.02,0.02
313,0.02,0.02
314,0.02,0.02
315,0.02,0.02
316,0.02,0.02
317,0.02,0.02
318,0.03,0.03
319,0.03,0.03
320,0.03,0.03
321,0.03,0.03
322,0.04,0.04
323,0.04,0.04
324,0.05,0.05
325,0.05,0.05
326,0.05,0.05
327,0.05,0.05
328,0.05,0.05
329,0.05,0.05
330,0.05,0.05
331,0.05,0.05
332,0.05,0.05
333,0.05,0.05
334,0.05,0.05
335,0.05,0.05
336,0.06,0.06
337,0.06,0.06
338,0.06,0.06
339,0.06,0.06
340,0.07,0.07
341,0.07,0.07
342,0.07,0.07
343,0.07,0.07
344,0.08,0.08
345,0.08,0.08
346,0.08,0.08
347,0.08,0.08
348,0.08,0.08
349,0.08,0.08
350,0.08,0.08
351,0.08,0.08
352,0.08,0.08
353,0.08,0.08
354,0.08,0.08
355,0.08,0.08
356,0.08,0.08
357,0.08,0.08
358,0.08,0.08
359,0.08,0.08
360,0.08,0.08
361,0.08,0.08
362,0.08,0.08
363,0.08,0.08
364,0.09,0.09
365,0.09,0.09
366,0.09,0.09
367,0.09,0.09
368,0.09,0.09
369,0.1,0.1
370,0.1,0.1
371,0.1,0.1
372,0.1,0.1
373,0.1,0.1
374,0.1,0.1
375,0.1,0.1
376,0.1,0.1
377,0.1,0.1
378,0.1,0.1
379,0.1,0.1
380,0.1,0.1
381,0.1,0.1
382,0.1,0.1
383,0.1,0.1
384,0.1,0.1
385,0.1,0.1
386,0.11,0.11
387,0.11,0.11
388,0.11,0.11
389,0.11,0.11
390,0.11,0.11
391,0.11,0.11
392,0.12,0.12
393,0.12,0.12
394,0.13,0.13
395,0.13,0.13
396,0.13,0.13
397,0.13,0.13
398,0.13,0.13
399,0.13,0.13
400,0.13,0.13
401,0.13,0.13
402,0.13,0.13
403,0.13,0.13
404,0.13,0.13
405,0.13,0.13
406,0.13,0.13
407,0.13,0.13
408,0.13,0.13
409,0.13,0.13
410,0.13,0.13
411,0.13,0.13
412,0.13,0.13
413,0.13,0.13
414,0.13,0.13
415,0.13,0.13
416,0.13,0.13
417,0.13,0.13
418,0.13,0.13
419,0.13,0.13
420,0.13,0.13
421,0.14,0.14
422,0.14,0.14
423,0.14,0.14
424,0.14,0.14
425,0.14,0.14
