Identifiant,EDWiN,EDWiN + Clusters
1,236,10
2,343,10
3,333,10
4,294,10
5,285,222
6,304,222
7,323,222
8,235,222
9,314,222
10,333,222
11,313,222
12,343,222
13,285,222
14,275,222
15,333,222
16,343,222
17,304,222
18,285,222
19,294,222
20,275,222
21,275,10
22,343,10
23,304,10
24,342,10
25,284,40
26,343,40
27,256,40
28,314,40
29,323,40
30,323,40
31,295,40
32,294,40
33,323,40
34,343,40
35,285,40
36,217,40
37,323,40
38,343,40
39,247,40
40,314,40
41,216,163
42,285,163
43,332,163
44,304,163
45,323,355
46,265,355
47,275,355
48,246,355
49,216,355
50,333,355
51,333,355
52,266,355
53,314,355
54,295,355
55,304,355
56,304,355
57,323,355
58,285,355
59,275,355
60,266,355
61,216,29
62,323,29
63,285,29
64,352,29
65,304,29
66,285,29
67,323,29
68,295,29
69,285,29
70,285,29
71,295,29
72,304,29
73,343,39
74,352,39
75,256,39
76,284,39
77,216,39
78,304,39
79,323,39
80,237,39
81,304,144
82,295,144
83,323,144
84,314,144
85,207,144
86,304,144
87,295,144
88,295,144
89,304,144
90,295,144
91,176,144
92,275,144
93,167,154
94,166,154
95,246,154
96,196,154
97,156,154
98,227,154
99,187,154
100,127,154
