Node,NoClusters
1,236
2,343
3,333
4,294
5,285
6,304
7,323
8,235
9,314
10,333
11,313
12,343
13,285
14,275
15,333
16,343
17,304
18,285
19,294
20,275
21,275
22,343
23,304
24,342
25,284
26,343
27,256
28,314
29,323
30,323
31,295
32,294
33,323
34,343
35,285
36,217
37,323
38,343
39,247
40,314
41,216
42,285
43,332
44,304
45,323
46,265
47,275
48,246
49,216
50,333
51,333
52,266
53,314
54,295
55,304
56,304
57,323
58,285
59,275
60,266
61,216
62,323
63,285
64,352
65,304
66,285
67,323
68,295
69,285
70,285
71,295
72,304
73,343
74,352
75,256
76,284
77,216
78,304
79,323
80,237
81,304
82,295
83,323
84,314
85,207
86,304
87,295
88,295
89,304
90,295
91,176
92,275
93,167
94,166
95,246
96,196
97,156
98,227
99,187
100,127
