Temps(s),EDWiN + Clustering,EDWiN,Sans D2D
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,1,0,1
11,1,0,1
12,1,0,1
13,1,0,1
14,1,0,1
15,1,0,1
16,1,0,1
17,1,0,1
18,1,0,1
19,1,0,1
20,2,0,2
21,2,0,2
22,2,0,2
23,2,0,2
24,2,0,2
25,2,0,2
26,2,0,2
27,2,0,2
28,2,0,2
29,2,0,2
30,3,0,3
31,3,0,3
32,3,0,3
33,3,0,3
34,3,0,3
35,3,0,3
36,3,0,3
37,3,0,3
38,3,0,3
39,3,0,3
40,3,0,4
41,4,0,4
42,4,0,4
43,4,0,4
44,4,0,4
45,4,0,4
46,4,0,4
47,4,0,4
48,4,0,4
49,4,0,4
50,4,0,5
51,5,0,5
52,5,0,5
53,5,0,5
54,5,0,5
55,5,0,5
56,5,0,5
57,5,0,5
58,5,0,5
59,5,0,5
60,5,0,6
61,6,0,6
62,6,0,6
63,6,0,6
64,6,0,6
65,6,0,6
66,6,0,6
67,6,0,6
68,6,0,6
69,6,0,6
70,6,0,7
71,7,0,7
72,7,0,7
73,7,0,7
74,7,0,7
75,7,0,7
76,7,0,7
77,7,0,7
78,7,0,7
79,7,0,7
80,7,0,8
81,7,0,8
82,8,0,8
83,8,0,8
84,8,0,8
85,8,0,8
86,8,0,8
87,8,0,8
88,8,0,8
89,8,0,8
90,8,0,9
91,8,0,9
92,9,0,9
93,9,0,9
94,9,0,9
95,9,0,9
96,9,0,9
97,9,0,9
98,9,0,9
99,9,0,9
100,9,0,10
101,9,0,10
102,10,0,10
103,10,0,10
104,10,0,10
105,10,0,10
106,10,0,10
107,10,0,10
108,10,0,10
109,10,0,10
110,10,0,11
111,10,0,11
112,11,0,11
113,11,0,11
114,11,0,11
115,11,0,11
116,11,0,11
117,11,0,11
118,11,0,11
119,11,0,11
120,11,0,12
121,11,0,12
122,11,0,12
123,12,0,12
124,12,0,12
125,12,0,12
126,12,0,12
127,12,0,12
128,12,0,12
129,12,0,12
130,12,0,13
131,12,0,13
132,12,0,13
133,13,0,13
134,13,0,13
135,13,0,13
136,13,0,13
137,13,0,13
138,13,0,13
139,13,0,13
140,13,0,14
141,13,0,14
142,13,0,14
143,14,0,14
144,14,0,14
145,14,0,14
146,14,0,14
147,14,0,14
148,14,0,14
149,14,0,14
150,14,0,15
151,14,0,15
152,14,0,15
153,15,0,15
154,15,0,15
155,15,0,15
156,15,0,15
157,15,0,15
158,15,0,15
159,15,0,15
160,15,0,16
161,15,0,16
162,15,0,16
163,15,0,16
164,16,0,16
165,16,0,16
166,16,0,16
167,16,0,16
168,16,0,16
169,16,0,16
170,16,0,17
171,16,0,17
172,16,0,17
173,16,0,17
174,17,0,17
175,17,0,17
176,17,0,17
177,17,0,17
178,17,0,17
179,17,0,17
180,17,0,18
181,17,0,18
182,17,0,18
183,17,0,18
184,18,0,18
185,18,0,18
186,18,0,18
187,18,0,18
188,18,0,18
189,18,0,18
190,18,0,19
191,18,0,19
192,18,0,19
193,18,0,19
194,19,0,19
195,19,0,19
196,19,0,19
197,19,1,19
198,19,1,19
199,19,1,19
200,19,1,20
201,19,1,20
202,19,1,20
203,19,1,20
204,19,1,20
205,20,3,20
206,20,3,20
207,20,4,20
208,20,5,20
209,20,6,20
210,20,8,21
211,20,8,21
212,20,8,21
213,20,9,21
214,20,9,21
215,21,9,21
216,21,10,21
217,21,10,21
218,21,11,21
219,21,11,21
220,21,11,22
221,21,12,22
222,21,12,22
223,21,12,22
224,21,12,22
225,22,13,22
226,22,13,22
227,22,13,22
228,22,13,22
229,22,13,22
230,22,13,23
231,22,13,23
