Time(s),APState
0,1
5,1
10,1
15,1
20,1
23,1
25,1
27,1
30,1
35,1
35,1
38,1
40,1
40,1
42,1
43,1
44,1
45,1
47,1
50,1
50,1
52,1
53,1
55,1
55,1
56,1
58,1
59,1
59,1
60,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
66,1
69,1
69,1
70,1
70,1
72,1
73,1
75,1
75,1
75,1
76,1
76,1
76,1
78,1
79,1
79,1
79,1
79,1
79,1
80,1
80,1
81,1
81,1
81,1
82,1
82,1
82,1
84,1
84,1
85,1
85,1
85,1
89,1
89,1
90,1
95,1
95,1
96,1
98,1
98,1
98,1
99,1
99,1
99,1
100,1
100,1
100,1
100,1
100,1
100,1
101,1
101,1
103,1
103,1
105,1
105,1
110,1
115,1
115,1
115,1
116,1
120,1
122,1
122,1
125,1
125,1
125,1
128,1
129,1
129,1
130,1
130,1
130,1
130,1
130,1
130,1
131,1
131,1
133,1
135,1
138,1
139,1
140,1
140,1
141,1
141,1
142,1
145,1
145,1
145,1
148,1
148,1
150,1
151,1
152,1
155,1
155,1
156,1
156,1
158,1
160,1
160,1
160,1
161,1
163,1
165,1
166,1
167,1
169,1
170,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
179,1
179,1
179,1
180,1
181,1
181,1
181,1
182,1
182,1
183,1
183,1
184,1
185,1
188,1
190,2
190,2
191,2
192,2
194,2
198,2
198,2
198,2
198,2
198,2
198,2
198,2
199,2
200,2
200,2
202,2
202,2
205,2
210,2
212,2
213,2
213,2
214,2
225,2
225,2
231,2
233,2
235,2
237,2
237,2
240,1
245,1
250,1
255,1
259,1
260,1
262,1
262,1
265,1
268,1
270,1
273,1
275,1
276,1
280,1
280,1
280,1
285,1
288,1
290,1
291,1
295,1
296,1
296,1
297,1
300,1
300,1
301,1
305,1
310,1
315,2
324,2
327,2
327,2
332,2
339,2
341,2
345,2
346,2
347,2
352,2
356,2
359,2
359,2
362,2
365,2
365,2
367,2
391,2
394,2
394,2
397,2
403,2
406,2
408,2
410,2
411,2
415,2
418,2
420,2
422,2
424,2
426,2
431,2
432,2
457,2
458,2
460,2
461,2
465,1
466,1
469,1
470,1
472,1
475,1
475,1
477,1
480,1
484,1
485,1
485,1
488,1
488,1
490,1
490,1
495,1
496,1
496,1
500,1
505,1
510,1
515,1
520,1
521,1
522,1
525,1
527,1
528,1
