Time(s),Downloaded chunks
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,2
14,2
15,2
16,3
17,3
18,3
19,3
20,3
21,4
22,4
23,4
24,5
25,5
26,6
27,6
28,7
29,7
30,7
31,8
32,8
33,8
34,8
35,8
36,10
37,10
38,10
39,11
40,11
41,13
42,13
43,14
44,15
45,16
46,17
47,17
48,18
49,18
50,18
51,20
52,20
53,21
54,22
55,22
56,24
57,25
58,25
59,26
60,28
61,30
62,31
63,32
64,33
65,34
66,35
67,37
68,37
69,37
70,39
71,41
72,41
73,42
74,43
75,43
76,46
77,49
78,49
79,50
80,55
81,57
82,61
83,64
84,64
85,66
86,70
87,70
88,70
89,70
90,73
91,74
92,74
93,74
94,74
95,74
96,76
97,77
98,77
99,81
100,84
101,90
102,92
103,92
104,95
105,95
106,98
107,98
108,98
109,98
110,98
111,99
112,99
113,99
114,99
115,99
116,105
117,107
118,107
119,107
120,107
121,108
122,108
123,112
124,112
125,112
126,118
127,118
128,118
129,119
130,123
131,134
132,138
133,138
134,141
135,141
136,142
137,142
138,142
139,145
140,146
141,150
142,156
143,159
144,159
145,159
146,165
147,165
148,165
149,168
150,168
151,169
152,170
153,171
154,171
155,171
156,176
157,183
158,183
159,185
160,185
161,190
162,192
163,192
164,193
165,193
166,194
167,195
168,196
169,196
170,198
171,201
172,204
173,205
174,206
175,207
176,208
177,212
178,212
179,212
180,218
181,219
182,229
183,236
184,241
185,244
186,245
187,245
188,245
189,246
190,246
191,248
192,249
193,250
194,250
195,253
196,253
197,253
198,253
199,266
200,268
201,271
202,271
203,274
204,274
205,274
206,275
207,275
208,275
209,275
210,275
211,277
212,277
213,278
214,281
215,283
216,283
217,283
218,283
219,283
220,283
221,283
222,283
223,283
224,283
225,283
226,290
227,290
228,290
229,290
230,290
231,290
232,292
233,295
234,295
235,295
236,299
237,299
238,308
239,308
240,308
241,318
242,318
243,318
244,318
245,318
246,319
247,319
248,319
249,319
250,319
251,320
252,320
253,320
254,320
255,320
256,321
257,321
258,321
259,321
260,326
261,327
262,327
263,337
264,337
265,337
266,338
267,338
268,338
269,343
270,343
271,344
272,344
273,344
274,349
275,349
276,350
277,355
278,355
279,355
280,355
281,366
282,366
283,366
284,366
285,366
286,367
287,367
288,367
289,372
290,372
291,373
292,378
293,378
294,378
295,378
296,379
297,387
298,392
299,392
300,392
301,398
302,403
303,403
304,403
305,403
306,404
307,404
308,404
309,404
310,404
311,405
312,405
313,405
314,405
315,405
316,406
317,406
318,406
319,406
320,406
321,406
322,406
323,406
324,406
325,411
326,411
327,411
328,421
329,421
330,421
331,421
332,421
333,426
334,426
335,426
336,426
337,426
338,426
339,426
340,431
341,431
342,436
343,436
344,436
345,436
346,439
347,444
348,449
349,449
350,449
351,449
352,449
353,454
354,454
355,454
356,454
357,459
358,459
359,459
360,469
361,469
362,469
363,474
364,474
365,474
366,489
367,489
368,494
369,494
370,494
371,494
372,494
373,494
374,494
375,494
376,494
377,494
378,494
379,494
380,494
381,494
382,494
383,494
384,494
385,494
386,494
387,494
388,494
389,494
390,494
391,494
392,499
393,499
394,499
395,509
396,509
397,509
398,514
399,514
400,514
401,514
402,514
403,514
404,519
405,519
406,519
407,524
408,524
409,529
410,529
411,534
412,539
413,539
414,539
415,539
416,549
417,549
418,549
419,554
420,554
421,559
422,559
423,564
424,564
425,569
426,569
427,574
428,574
429,574
430,574
431,574
432,579
433,584
434,584
435,584
436,584
437,584
438,584
439,584
440,584
441,584
442,584
443,584
444,584
445,584
446,584
447,584
448,584
449,584
450,584
451,584
452,584
453,584
454,584
455,584
456,584
457,584
458,589
459,594
460,594
461,599
462,604
463,604
464,604
465,604
466,614
467,619
468,619
469,619
470,624
471,625
472,625
473,630
474,630
475,630
476,636
477,636
478,641
479,641
480,641
481,642
482,642
483,642
484,642
485,647
486,653
487,653
488,653
489,663
490,663
491,669
492,669
493,669
494,669
495,669
496,670
497,680
498,680
499,680
500,680
501,681
502,681
503,681
504,681
505,681
506,682
507,682
508,682
509,682
510,682
511,683
512,683
513,683
514,683
515,683
516,684
517,684
518,684
519,684
520,684
521,685
522,690
523,695
524,695
525,695
526,696
527,696
528,701
529,706
