Id,InitialBattery,FinalBattery,NetworkingBatteryLoss
1,42000,38664,100
2,28800,25045,519
3,42000,38184,580
4,28800,25364,200
5,42000,38664,100
6,42000,38240,524
7,28800,25057,507
8,28800,25049,515
9,42000,37712,1052
10,42000,37820,944
11,42000,37855,909
12,42000,38190,574
13,42000,37706,1058
14,42000,37880,884
15,28800,25029,535
16,28800,25049,515
17,42000,37821,943
18,28800,25041,523
19,42000,38664,100
20,28800,25033,531
21,28800,25061,503
22,42000,37962,802
23,42000,37712,1052
24,42000,38020,744
25,42000,37704,1060
26,42000,38186,578
27,42000,38664,100
28,28800,25037,527
29,42000,38182,582
30,42000,38664,100
31,28800,25049,515
32,42000,38184,580
33,42000,38664,100
34,42000,37714,1050
35,28800,25033,531
36,42000,38664,100
37,28800,25045,519
38,42000,37708,1056
39,42000,38664,100
40,42000,37712,1052
41,42000,38664,100
42,42000,37710,1054
43,42000,37937,827
44,42000,38664,100
45,42000,37710,1054
46,28800,25041,523
47,42000,38664,100
48,42000,37710,1054
49,42000,38664,100
50,28800,25049,515
51,42000,37932,832
52,42000,37698,1066
53,42000,37710,1054
54,28800,25045,519
55,42000,37708,1056
56,42000,37714,1050
57,28800,25037,527
58,42000,38664,100
59,42000,37872,892
60,28800,25049,515
61,42000,37702,1062
62,28800,25053,511
63,42000,37708,1056
64,42000,37712,1052
65,28800,25045,519
66,42000,37961,803
67,42000,37815,949
68,42000,37712,1052
69,42000,38664,100
70,42000,38223,541
71,28800,25053,511
72,42000,37708,1056
73,42000,38664,100
74,28800,25029,535
75,42000,37706,1058
76,42000,38664,100
77,42000,37706,1058
78,42000,38664,100
79,42000,37710,1054
80,28800,25053,511
81,42000,38664,100
82,42000,37706,1058
83,42000,38664,100
84,42000,37710,1054
85,28800,25037,527
86,42000,38664,100
87,42000,37704,1060
88,42000,38664,100
89,42000,37710,1054
90,42000,38664,100
91,42000,37702,1062
92,42000,38143,621
93,42000,38002,762
94,42000,38664,100
95,42000,37698,1066
96,42000,37712,1052
97,42000,37856,908
98,42000,37706,1058
99,42000,38664,100
100,28800,25045,519
101,42000,37712,1052
102,28800,25057,507
103,42000,37704,1060
104,28800,25037,527
105,42000,37712,1052
106,42000,37702,1062
107,28800,25049,515
108,28800,25041,523
109,42000,38664,100
110,42000,37894,870
111,42000,38138,626
112,42000,37710,1054
113,42000,38664,100
114,42000,37918,846
115,28800,25049,515
116,28800,25364,200
117,42000,38170,594
118,28800,25061,503
119,42000,37706,1058
120,28800,25053,511
121,28800,25057,507
122,42000,37883,881
123,42000,38664,100
124,42000,38143,621
125,42000,37702,1062
126,42000,38664,100
127,42000,37712,1052
128,28800,25049,515
129,42000,38664,100
130,42000,37704,1060
131,28800,25057,507
132,42000,38664,100
133,42000,37708,1056
134,42000,38664,100
135,28800,25041,523
136,42000,37712,1052
137,28800,25364,200
138,42000,38664,100
139,42000,37716,1048
140,42000,38664,100
141,42000,37706,1058
142,42000,38664,100
143,42000,38151,613
144,42000,37712,1052
145,42000,37712,1052
146,28800,25049,515
147,42000,37698,1066
148,42000,37712,1052
149,42000,37712,1052
150,28800,25045,519
151,42000,37873,891
152,42000,37176,1588
153,42000,37180,1584
154,28800,25049,515
155,42000,38136,628
156,42000,37176,1588
157,28800,25053,511
158,42000,37608,1156
159,42000,37975,789
160,28800,25021,543
161,42000,37172,1592
162,28800,25364,200
163,42000,37612,1152
164,42000,36650,2114
165,28800,25049,515
166,42000,38076,688
167,42000,37948,816
168,42000,37066,1698
169,42000,36654,2110
170,42000,38010,754
171,28800,25057,507
172,42000,37082,1682
173,42000,36654,2110
174,28800,25033,531
175,42000,36562,2202
176,42000,36132,2632
177,42000,36018,2746
178,42000,36118,2646
179,42000,34966,3798
180,28800,25037,527
181,42000,35068,3696
182,42000,34970,3794
183,42000,35064,3700
184,42000,34972,3792
185,28800,25041,523
186,42000,35064,3700
187,42000,35074,3690
188,42000,35054,3710
189,42000,34954,3810
190,42000,35086,3678
191,42000,35078,3686
192,42000,37978,786
193,42000,37994,770
194,42000,34948,3816
195,42000,34703,4061
196,42000,34446,4318
197,42000,38171,593
198,42000,34755,4009
199,42000,34554,4210
200,28800,25049,515
