Time(s),ChunksFromAp,ChunksFromDevices,GoodActive,BadActive,Active
0,0,0,0,0,0
1,0,0,1,0,1
2,0,0,1,0,1
3,0,0,1,0,1
4,0,0,1,0,1
5,0,0,1,0,1
6,1,0,3,0,3
7,1,0,3,0,3
8,1,0,3,0,3
9,1,0,3,0,3
10,1,0,3,0,3
11,2,0,5,0,5
12,2,0,5,0,5
13,2,0,5,0,5
14,2,0,5,0,5
15,2,0,5,0,5
16,3,0,7,0,7
17,3,0,7,0,7
18,3,0,7,0,7
19,3,0,7,0,7
20,3,0,7,0,7
21,4,0,9,0,9
22,4,0,9,0,9
23,4,0,9,0,9
24,4,1,11,0,11
25,4,1,11,0,11
26,5,1,13,0,13
27,5,1,13,0,13
28,5,2,15,0,15
29,5,2,15,0,15
30,5,2,15,0,15
31,6,2,17,0,17
32,6,2,17,0,17
33,6,2,17,0,17
34,6,2,17,0,17
35,6,2,17,0,17
36,7,3,21,0,21
37,7,3,21,0,21
38,7,3,21,0,21
39,7,4,23,0,23
40,7,4,23,0,23
41,8,5,27,0,27
42,8,5,27,0,27
43,8,6,29,0,29
44,8,7,31,0,31
45,8,8,33,0,33
46,9,8,33,0,33
47,9,8,33,0,33
48,9,9,33,0,33
49,9,9,33,0,33
50,9,9,33,0,33
51,10,10,33,0,33
52,10,10,33,0,33
53,10,11,33,0,33
54,10,12,33,0,33
55,10,12,33,0,33
56,11,13,33,0,33
57,11,14,33,0,33
58,11,14,33,0,33
59,11,15,33,0,33
60,11,17,31,0,31
61,12,18,33,0,33
62,12,19,33,0,33
63,12,20,33,0,33
64,12,21,33,0,33
65,12,22,33,0,33
66,13,22,33,0,33
67,13,24,33,0,33
68,13,24,33,0,33
69,13,24,33,0,33
70,13,26,33,0,33
71,14,27,33,0,33
72,14,27,33,0,33
73,14,28,33,0,33
74,14,29,33,0,33
75,14,29,33,0,33
76,15,31,33,0,33
77,15,34,33,0,33
78,15,34,33,0,33
79,15,35,33,0,33
80,15,40,33,0,33
81,16,41,33,0,33
82,16,45,33,0,33
83,16,48,33,0,33
84,16,48,33,0,33
85,16,50,33,0,33
86,17,53,33,0,33
87,17,53,33,0,33
88,17,53,33,0,33
89,17,53,33,0,33
90,17,56,33,0,33
91,18,56,33,0,33
92,18,56,33,0,33
93,18,56,33,0,33
94,18,56,33,0,33
95,18,56,33,0,33
96,19,57,33,0,33
97,19,58,33,0,33
98,19,58,33,0,33
99,19,62,33,0,33
100,19,65,33,0,33
101,20,70,33,0,33
102,20,72,33,0,33
103,20,72,33,0,33
104,20,75,33,0,33
