Node,Category,CompletionTime(s),RemainingBattery(s)
0,Good,0,0
43,Good,190,41510
43,Good,190,41510
114,Good,198,41536
66,Good,198,41567
24,Good,198,41504
11,Good,198,41480
193,Good,199,41480
192,Good,200,41465
14,Good,200,41498
159,Good,202,41477
166,Good,202,41498
59,Good,205,41523
170,Good,210,41492
124,Good,212,41461
10,Good,213,41425
151,Good,213,41452
110,Good,214,41499
111,Good,225,41487
97,Good,235,41477
17,Good,237,41467
196,Good,237,41488
4,Bad,240,28559
4,Bad,240,28559
22,Good,270,41317
22,Good,270,41317
51,Good,275,41426
51,Good,275,41426
67,Good,280,41291
67,Good,280,41291
70,Good,285,41439
70,Good,285,41439
92,Good,290,41354
92,Good,290,41354
93,Good,295,41340
93,Good,295,41340
117,Good,300,41378
117,Good,300,41378
143,Good,305,41353
143,Good,305,41353
167,Good,310,41144
167,Good,310,41144
197,Good,315,41228
197,Good,315,41228
2,Bad,339,28192
122,Good,345,41357
16,Bad,346,28201
8,Bad,356,28187
7,Bad,359,28184
21,Bad,359,28188
116,Bad,365,28434
116,Bad,365,28434
35,Bad,367,28168
37,Bad,391,28156
54,Bad,394,28153
46,Bad,397,28138
60,Bad,410,28129
137,Bad,415,28384
137,Bad,415,28384
57,Bad,418,28117
62,Bad,420,28123
50,Bad,424,28119
18,Bad,431,28100
74,Bad,432,28099
15,Bad,457,28070
28,Bad,458,28069
80,Bad,460,28079
20,Bad,461,28074
162,Bad,465,28334
162,Bad,465,28334
31,Bad,466,28069
199,Good,475,41017
199,Good,475,41017
107,Bad,485,28058
108,Bad,488,28051
65,Bad,488,28047
71,Bad,490,28053
198,Good,495,41196
198,Good,495,41196
104,Bad,496,28035
195,Good,525,41108
195,Good,525,41108
100,Bad,535,28008
102,Bad,538,28005
120,Bad,541,28002
118,Bad,551,27996
115,Bad,553,27990
121,Bad,560,27987
150,Bad,561,27978
194,Good,570,41310
194,Good,570,41310
146,Bad,586,27957
171,Bad,590,27953
165,Bad,592,27951
128,Bad,598,27937
174,Bad,599,27936
131,Bad,600,27943
135,Bad,602,27933
85,Bad,605,27922
200,Bad,614,27925
185,Bad,615,27916
157,Bad,617,27926
160,Bad,617,27914
189,Good,620,41288
189,Good,620,41288
180,Bad,622,27905
154,Bad,651,27888
184,Good,670,41238
184,Good,670,41238
182,Good,720,41188
182,Good,720,41188
179,Good,770,41138
179,Good,770,41138
177,Good,820,41088
177,Good,820,41088
175,Good,870,41038
175,Good,870,41038
172,Good,920,40988
172,Good,920,40988
168,Good,970,40938
168,Good,970,40938
163,Good,1020,40888
163,Good,1020,40888
158,Good,1070,40838
158,Good,1070,40838
190,Good,1086,40386
191,Good,1086,40388
188,Good,1116,40350
186,Good,1118,40356
187,Good,1119,40347
155,Good,1120,40788
155,Good,1120,40788
183,Good,1151,40315
142,Good,1170,40738
142,Good,1170,40738
181,Good,1197,40273
140,Good,1220,40688
140,Good,1220,40688
178,Good,1249,40221
138,Good,1270,40638
138,Good,1270,40638
176,Good,1297,40175
134,Good,1320,40588
134,Good,1320,40588
173,Good,1347,40127
132,Good,1370,40538
132,Good,1370,40538
169,Good,1397,40075
129,Good,1420,40488
129,Good,1420,40488
164,Good,1452,40012
126,Good,1470,40438
126,Good,1470,40438
161,Good,1501,39967
123,Good,1520,40388
123,Good,1520,40388
156,Good,1548,39922
113,Good,1570,40338
113,Good,1570,40338
153,Good,1598,39872
149,Good,1612,39862
148,Good,1612,39858
152,Good,1617,39851
109,Good,1620,40288
109,Good,1620,40288
145,Good,1644,39830
144,Good,1645,39825
147,Good,1649,39817
99,Good,1670,40238
99,Good,1670,40238
141,Good,1680,39788
94,Good,1720,40188
94,Good,1720,40188
139,Good,1721,39753
90,Good,1770,40138
90,Good,1770,40138
136,Good,1775,39699
88,Good,1820,40088
88,Good,1820,40088
133,Good,1825,39641
86,Good,1870,40038
86,Good,1870,40038
130,Good,1877,39591
83,Good,1920,39988
83,Good,1920,39988
127,Good,1923,39551
81,Good,1970,39938
81,Good,1970,39938
125,Good,1983,39485
78,Good,2020,39888
78,Good,2020,39888
119,Good,2030,39436
76,Good,2070,39838
76,Good,2070,39838
112,Good,2075,39395
73,Good,2120,39788
73,Good,2120,39788
106,Good,2129,39341
105,Good,2138,39334
103,Good,2142,39330
101,Good,2143,39327
69,Good,2170,39738
69,Good,2170,39738
96,Good,2171,39299
98,Good,2173,39293
95,Good,2182,39280
91,Good,2211,39255
58,Good,2220,39688
58,Good,2220,39688
89,Good,2248,39222
49,Good,2270,39638
49,Good,2270,39638
87,Good,2305,39163
47,Good,2320,39588
47,Good,2320,39588
84,Good,2352,39122
44,Good,2370,39538
44,Good,2370,39538
82,Good,2406,39062
41,Good,2420,39488
41,Good,2420,39488
79,Good,2450,39018
39,Good,2470,39438
39,Good,2470,39438
77,Good,2512,38952
36,Good,2520,39388
36,Good,2520,39388
75,Good,2559,38911
33,Good,2570,39338
33,Good,2570,39338
72,Good,2603,38867
30,Good,2620,39288
30,Good,2620,39288
68,Good,2655,38817
64,Good,2664,38810
63,Good,2670,38798
27,Good,2670,39238
27,Good,2670,39238
61,Good,2674,38796
56,Good,2696,38778
55,Good,2701,38771
53,Good,2709,38759
19,Good,2720,39188
19,Good,2720,39188
52,Good,2744,38726
5,Good,2770,39138
5,Good,2770,39138
48,Good,2775,38693
1,Good,2820,39088
1,Good,2820,39088
45,Good,2832,38640
32,Good,2849,38579
32,Good,2849,38579
42,Good,2879,38593
29,Good,2894,38532
29,Good,2894,38532
40,Good,2932,38540
26,Good,2944,38486
26,Good,2944,38486
38,Good,2978,38494
12,Good,2983,38451
12,Good,2983,38451
3,Good,3034,38394
3,Good,3034,38394
34,Good,3037,38437
25,Good,3194,38274
23,Good,3196,38276
13,Good,3203,38267
9,Good,3227,38245
6,Good,3234,38240
