Time(s),Dissemination Progress(percent)
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,5.0E-4
7,5.0E-4
8,5.0E-4
9,5.0E-4
10,5.0E-4
11,0.001
12,0.001
13,0.001
14,0.001
15,0.001
16,0.0015
17,0.0015
18,0.0015
19,0.0015
20,0.0015
21,0.002
22,0.002
23,0.002
24,0.0025
25,0.0025
26,0.003
27,0.003
28,0.0035
29,0.0035
30,0.0035
31,0.004
32,0.004
33,0.004
34,0.004
35,0.004
36,0.005
37,0.005
38,0.005
39,0.0055
40,0.0055
41,0.0065
42,0.0065
43,0.007
44,0.0075
45,0.008
46,0.0085
47,0.0085
48,0.009
49,0.009
50,0.009
51,0.01
52,0.01
53,0.0105
54,0.011
55,0.011
56,0.012
57,0.0125
58,0.0125
59,0.013
60,0.014
61,0.015
62,0.0155
63,0.016
64,0.0165
65,0.017
66,0.0175
67,0.0185
68,0.0185
69,0.0185
70,0.0195
71,0.0205
72,0.0205
73,0.021
74,0.0215
75,0.0215
76,0.023
77,0.0245
78,0.0245
79,0.025
80,0.0275
81,0.0285
82,0.0305
83,0.032
84,0.032
85,0.033
86,0.035
87,0.035
88,0.035
89,0.035
90,0.0365
91,0.037
92,0.037
93,0.037
94,0.037
95,0.037
96,0.038
97,0.0385
98,0.0385
99,0.0405
100,0.042
101,0.045
102,0.046
103,0.046
104,0.0475
105,0.0475
106,0.049
107,0.049
108,0.049
109,0.049
110,0.049
111,0.0495
112,0.0495
113,0.0495
114,0.0495
115,0.0495
116,0.0525
117,0.0535
118,0.0535
119,0.0535
120,0.0535
121,0.054
122,0.054
123,0.056
124,0.056
125,0.056
126,0.059
127,0.059
128,0.059
129,0.0595
130,0.0615
131,0.067
132,0.069
133,0.069
134,0.0705
135,0.0705
136,0.071
137,0.071
138,0.071
139,0.0725
140,0.073
141,0.075
142,0.078
143,0.0795
144,0.0795
145,0.0795
146,0.0825
147,0.0825
148,0.0825
149,0.084
150,0.084
151,0.0845
152,0.085
153,0.0855
154,0.0855
155,0.0855
156,0.088
157,0.0915
158,0.0915
159,0.0925
160,0.0925
161,0.095
162,0.096
163,0.096
164,0.0965
165,0.0965
166,0.097
167,0.0975
168,0.098
169,0.098
170,0.099
171,0.1005
172,0.102
173,0.1025
174,0.103
175,0.1035
176,0.104
177,0.106
178,0.106
179,0.106
180,0.109
181,0.1095
182,0.1145
183,0.118
184,0.1205
185,0.122
186,0.1225
187,0.1225
188,0.1225
189,0.123
190,0.123
191,0.124
192,0.1245
193,0.125
194,0.125
195,0.1265
196,0.1265
197,0.1265
198,0.1265
199,0.133
200,0.134
201,0.1355
202,0.1355
203,0.137
204,0.137
205,0.137
206,0.1375
207,0.1375
208,0.1375
209,0.1375
210,0.1375
211,0.1385
212,0.1385
213,0.139
214,0.1405
215,0.1415
216,0.1415
217,0.1415
218,0.1415
219,0.1415
220,0.1415
221,0.1415
222,0.1415
223,0.1415
224,0.1415
225,0.1415
226,0.145
227,0.145
228,0.145
229,0.145
230,0.145
231,0.145
232,0.146
233,0.1475
234,0.1475
235,0.1475
236,0.1495
237,0.1495
238,0.154
239,0.154
240,0.154
241,0.159
242,0.159
243,0.159
244,0.159
245,0.159
246,0.1595
247,0.1595
248,0.1595
249,0.1595
250,0.1595
251,0.16
252,0.16
253,0.16
254,0.16
255,0.16
256,0.1605
257,0.1605
258,0.1605
259,0.1605
260,0.163
261,0.1635
262,0.1635
263,0.1685
264,0.1685
265,0.1685
266,0.169
267,0.169
268,0.169
269,0.1715
270,0.1715
271,0.172
272,0.172
273,0.172
274,0.1745
275,0.1745
276,0.175
277,0.1775
278,0.1775
279,0.1775
280,0.1775
281,0.183
282,0.183
283,0.183
284,0.183
285,0.183
286,0.1835
287,0.1835
288,0.1835
289,0.186
290,0.186
291,0.1865
292,0.189
293,0.189
294,0.189
295,0.189
296,0.1895
297,0.1935
298,0.196
299,0.196
300,0.196
301,0.199
302,0.2015
303,0.2015
304,0.2015
305,0.2015
306,0.202
307,0.202
308,0.202
309,0.202
310,0.202
311,0.2025
312,0.2025
313,0.2025
314,0.2025
315,0.2025
316,0.203
317,0.203
318,0.203
319,0.203
320,0.203
321,0.203
322,0.203
323,0.203
324,0.203
325,0.2055
326,0.2055
327,0.2055
328,0.2105
329,0.2105
330,0.2105
331,0.2105
332,0.2105
333,0.213
334,0.213
335,0.213
336,0.213
337,0.213
338,0.213
339,0.213
340,0.2155
341,0.2155
342,0.218
343,0.218
344,0.218
345,0.218
346,0.2195
347,0.222
348,0.2245
349,0.2245
350,0.2245
351,0.2245
352,0.2245
353,0.227
354,0.227
355,0.227
356,0.227
357,0.2295
358,0.2295
359,0.2295
360,0.2345
361,0.2345
362,0.2345
363,0.237
364,0.237
365,0.237
366,0.2445
367,0.2445
368,0.247
369,0.247
370,0.247
371,0.247
372,0.247
373,0.247
374,0.247
375,0.247
376,0.247
377,0.247
378,0.247
379,0.247
380,0.247
381,0.247
382,0.247
383,0.247
384,0.247
385,0.247
386,0.247
387,0.247
388,0.247
389,0.247
390,0.247
391,0.247
392,0.2495
393,0.2495
394,0.2495
395,0.2545
396,0.2545
397,0.2545
398,0.257
399,0.257
400,0.257
401,0.257
402,0.257
403,0.257
404,0.2595
405,0.2595
406,0.2595
407,0.262
408,0.262
409,0.2645
410,0.2645
411,0.267
412,0.2695
413,0.2695
414,0.2695
415,0.2695
416,0.2745
417,0.2745
418,0.2745
419,0.277
420,0.277
421,0.2795
422,0.2795
423,0.282
424,0.282
425,0.2845
426,0.2845
427,0.287
428,0.287
429,0.287
430,0.287
431,0.287
432,0.2895
433,0.292
434,0.292
435,0.292
436,0.292
437,0.292
438,0.292
439,0.292
440,0.292
441,0.292
442,0.292
443,0.292
444,0.292
445,0.292
446,0.292
447,0.292
448,0.292
449,0.292
450,0.292
451,0.292
452,0.292
453,0.292
454,0.292
455,0.292
456,0.292
457,0.292
458,0.2945
459,0.297
460,0.297
461,0.2995
462,0.302
463,0.302
464,0.302
465,0.302
466,0.307
467,0.3095
468,0.3095
469,0.3095
470,0.312
471,0.3125
472,0.3125
473,0.315
474,0.315
475,0.315
476,0.318
477,0.318
478,0.3205
479,0.3205
480,0.3205
481,0.321
482,0.321
483,0.321
484,0.321
485,0.3235
486,0.3265
487,0.3265
488,0.3265
489,0.3315
490,0.3315
491,0.3345
492,0.3345
493,0.3345
494,0.3345
495,0.3345
496,0.335
497,0.34
498,0.34
499,0.34
500,0.34
501,0.3405
502,0.3405
503,0.3405
504,0.3405
505,0.3405
506,0.341
507,0.341
508,0.341
509,0.341
510,0.341
511,0.3415
512,0.3415
513,0.3415
514,0.3415
515,0.3415
516,0.342
517,0.342
518,0.342
519,0.342
520,0.342
521,0.3425
522,0.345
523,0.3475
524,0.3475
525,0.3475
526,0.348
527,0.348
